	date	category	content	sentiment_score
0	2022-04-26	Finance	singapore gic buying stake london paddington central office complex million . singaporean sovereign wealth fund gic agreed buy 75 percent stake british land paddington central office complex london 694 million pounds million adding signs growing asian investor appetite real estate assets european financial hub.	0.4760160632431507
1	2022-04-26	Cryptocurrencies	know investing fidelity bitcoin retirement accounts . morning crypto advocates crypto curious alike woke news asset management giant fidelity start allowing investors put bitcoin 401 k retirement savings accounts . however important read fine print.	0.027112397365272045
2	2022-04-26	Finance	student loan forgiveness 4 people likely oppose student loan cancellation . 4 people likely oppose mass student loan forgiveness.	-0.8272002637386322
3	2022-04-26	Finance	home buying becoming unaffordable americans experts predict housing market 2022. monthly mortgage payments nearly since last year double decade ago.	-0.9675832986831665
4	2022-04-26	Finance	examining ukrainian tax implications russia invasion . valeria tarasenko dentons kyiv discusses ukrainian government tax policy changes response russian invasion.	-0.015276523306965828
5	2022-04-26	Finance	79 percent americans believe money make happier . wrong . prioritizing pursuit money never contributes overall happiness life satisfaction.	-0.07925901530931394
6	2022-04-26	Finance	san francisco fintech biz seems gender problem . london new york even worse male.	-0.9553764164447784
7	2022-04-26	Stock Market	expect chipotle stock post q1 . chipotle mexican grill stock nyse cmg fast casual restaurant chain focuses fresh organic ingredients burritos salads scheduled report fiscal first quarter results tuesday april 26.	0.025490256026387215
8	2022-04-26	Cryptocurrencies	fidelity adds bitcoin 401 k options . consider . fidelity announced plans include bitcoin option retirement accounts later year.	0.007537406869232655
9	2022-04-26	Finance	q2 bear . cycle projections pointed weak q2 seen cycle charts.	-0.4814633075147867
10	2022-04-26	Stock Market	bear market looms relentless selling batters stocks even lower inflation help . careful wish morgan stanley analyst cautions one downside lower inflation.	-0.5025816336274147
11	2022-04-26	Finance	senate confirms lael brainard fed new vice chair . know .. sole democrat fed board governors one point favorite unseat chair powell.	0.0402282876893878
12	2022-04-26	Finance	biden reportedly considering broad student loan cancellation . biden administration sending signals week wide scale student loan forgiveness remains serious consideration.	-0.2529325634241104
13	2022-04-26	Finance	alphabet shares fall quarterly earnings reveal slowing revenue growth . earnings miss dragged alphabet shares lower stock nearly 20 percent month alone.	-0.9883682727813721
14	2022-04-26	Finance	elon musk person sure . knee jerk present passport use facebook whatever way get better public square . fortunately need . technology means deliver verifiability privacy enhancing manner let us hope mr. musk adopt creative approach.	0.17033353704027832
15	2022-04-26	Finance	robinhood lays 9 percent full time employees decline users . robinhood pandemic era gains receding ceo vlad tenev announced tuesday around 340 employees would laid.	-0.8934860825538635
16	2022-04-26	Stock Market	update lxfr april 26. luxfer lxfr reported q1 results last night . net sales .0 million period came slightly .7 million consensus forecast due supply chain constraints unfavorable foreign currency movements still represented strong year year growth 13.8 percent ...	0.4852421856485307
17	2022-04-26	Stock Market	tesla stock plunge wipes billion value twitter deal sparks fears . tesla shareholders happy twitter deal potentially diverting elon musk attention one analyst says.	-0.9521134495735168
18	2022-04-26	Finance	myth big bad billionaire . get distracted massive income inequality closer hand.	-0.024500752333551645
19	2022-04-26	Finance	inflation hits new aircraft deliveries escalating problem inflating solution . aviation industry experienced biggest drop demand history pandemic many airlines life support.	-0.9692644774913788
20	2022-04-26	Stock Market	stock market drops confirm end line bullishness . recent sharp declines market 2022 lows proof continued weakness	-0.9446263015270233
21	2022-04-26	Stock Market	stock market sell continues dow plunges 800 points ahead big tech earnings . stocks sale despite brief respite day earlier.	-0.32344377040863037
22	2022-04-26	Finance	musk twitter neuralink natural pairing . proving person capable actually canceling american president instigating near global debate free speech led buyout world richest man say aged pretty well.	0.3683128859847784
23	2022-04-26	Finance	charging order state llcs allowed avt . u.s. district court district utah issued charging order four state llcs overruling arguments court lacked personal jurisdiction llcs	-0.2489592283964157
24	2022-04-26	Stock Market	10 percent last month fortinet stock recover anytime soon . look change last five ten days stock lost 7.9 percent 9.4 percent respectively underperforming broader markets occasions.	-0.20885273814201355
25	2022-04-26	Finance	much money employment discrimination case worth . one size fits answer exists possible specifically identify types damages available spell amount determined.	0.010341877117753029
26	2022-04-26	Finance	europe faces higher recession risks u.s.a .. europe reliance imported energy part story.	0.09667930006980896
27	2022-04-26	Stock Market	80 percent correction rivian stock still risky bet . rivian stock seen sizeable correction falling 65 percent year date almost 80 percent time highs currently trades per share market cap around billion.	-0.4764073006808758
28	2022-04-26	Stock Market	revisiting stance tesla stock . revenue growth led primarily surging deliveries model 3 vehicles total deliveries 68 percent versus q1 2021 tesla also boosted average selling price per vehicle 10 percent year year around 000 prioritized deliveries premium trims ramped ...	0.49133118288591504
29	2022-04-26	Stock Market	strong q1 results set ibm stock rally . ibm posted stronger expected set q1 2022 results revenue growing 8 percent year year .2 billion adjusted earnings per share rising 25 percent year year .40.	0.9268710911273956
30	2022-04-26	Finance	verizon posts tough q1 . next . adjusted eps declined .35 per share .36 q1 2021 verizon expects full year earnings 2022 come lower end previously guided range .40 .55.	-0.6485719811171293
31	2022-04-26	Cryptocurrencies	coinbase nft partner 0x labs raises million greylock partners jump crypto jared leto . following successful integration coinbase newly launched nft marketplace san francisco based startup plans dabble nft tech decentralized finance.	0.13517667911946774
32	2022-04-26	Finance	3 rate resistant funds yielding 8.6 percent . want dividends keep us ahead rising prices hedging us volatility.	0.06011748127639294
33	2022-04-26	Finance	student loan cancellation less student loan forgiveness better . new research shows less student loan forgiveness may better student loan forgiveness . .	0.5959036648273468
34	2022-04-26	Stock Market	sap q1 results mixed stock still looks like buy . sap also says current cloud backlog stood 9.73 billion euros .5 billion 23 percent year year constant currency.	0.2289048358798027
35	2022-04-26	Finance	family offices rush hire legal counsel time regulation . us treasury department proposed corporations llc disclose name date birth address proof identification bid combat money laundering adds concern family offices claiming susceptible theft fraud kidnap.	-0.17059318721294403
36	2022-04-26	Stock Market	caterpillar stock rise q1 earnings . forecast indicates cat stock room growth current levels discuss.	0.53697869181633
37	2022-04-26	Stock Market	elon musk billion tesla margin debt benefit bill gates . complete billion twitter deal musk margin loans could top billion eroding tesla shares enriching bill gates	0.1772274561226368
38	2022-04-26	Stock Market	expect boston scientific stock following q1 earnings . revenues expected slightly consensus estimates trefis estimates boston scientific q1 2022 revenues around .0 billion slightly .9 billion consensus estimate.	0.015131179243326187
39	2022-04-26	Finance	despite student debt crisis high school seniors favor high cost high amenity colleges new survey finds . may 1 college decision day approaches teens worry costs enough seems tilt choices . parents surveyed.	0.19222448766231537
40	2022-04-26	Stock Market	fuel portfolio three petroleum stocks . gas prices reaching new time high march consider three petroleum stocks	0.16304211597889662
41	2022-04-26	Stock Market	tencent backer prosus invests kuok meng ru bandlab music platform accelerates expansion . bandlab cofounded kuok meng ru son palm oil billionaire kuok khoon hong received investment dutch private equity firm prosus ventures digital platform music creators accelerates expansion plans.	0.9016902148723602
42	2022-04-26	Stock Market	expect intercontinental exchange stock . reported total net revenues revenue minus transaction based expenses .8 billion 10 percent year ago period.	0.006780331488698721
43	2022-04-26	Finance	pboc state council lift internet consumption plays . asian equities largely higher . mainland china australia returned yesterday holiday 2.08 percent commodity prices retreated.	0.055576443672180176
44	2022-04-26	Stock Market	discover financial stock post mixed results q1 . growth nii higher net interest margin outstanding loan balances non interest revenues benefited recovery card purchase volume 25 percent.	-0.003907352685928345
45	2022-04-26	Finance	millennials shelling big racks fine art work . catalyzed higher incomes ubiquitousness internet millennials purchasing art generations . last two years 22 37 year old adults bought almost half artwork priced million.	0.010368673751751581
46	2022-04-27	Finance	austria carbon tax almost . provide blueprint western nations . austria carbon tax become reality . might thing move needle issue minds american lawmakers taxpayers economic incentive.	0.06384920282289386
47	2022-04-27	Finance	critics private equity nursing home ownership living past . industry experts tell increasingly big investors senior services abandoning nursing facilities favor far lucrative home health business cases private pay senior housing.	-0.049569410271942616
48	2022-04-27	Finance	correct cash allocation retirement portfolio zero . cash bucket real return 8.4 percent . empty.	0.18930138275027275
49	2022-04-27	Cryptocurrencies	art tokenization picasso painted onto blockchain . got nothing nfts.	-0.0014380328357219696
50	2022-04-27	Stock Market	expect mcdonald stock q1 . mcdonald stock nyse mcd world largest restaurant chain consisting 40 000 mostly franchised stores scheduled report fiscal first quarter results thursday april 28.	0.0033950014039874077
51	2022-04-27	Stock Market	roku stock hit bear note ahead earnings . roku roku underperforming charts 61.8 percent year date overhead pressure 50 day moving average.	-0.029003292322158813
52	2022-04-27	Cryptocurrencies	bitcoin breaks line hell pay . always said bitcoin true use case investors speculative barometer whose price pure function risk taking appetite tied amount liquidity markets viral disastrously misinformed notion never ending government stimulus.	-0.3710939697921276
53	2022-04-27	Stock Market	us stocks look . bottom line benchmark p 500 spx midst major downtrend initiated late january year.	-0.4559344910085201
54	2022-04-27	Finance	student loan forgiveness 000 getting likely says top democrat could catch . momentum towards form broad student loan forgiveness initiative appears building president biden seriously contemplates using executive action cancel student debt broad swath borrowers . could catch.	0.4506633107860883
55	2022-04-27	Stock Market	robinhood troubles could get worse stock hits record low amid layoffs looming quarterly earnings . stock could take hit revenue user growth continue disappoint analysts warn.	-0.985976368188858
56	2022-04-27	Finance	errors poor data complicate student loan forgiveness gao report finds . student loan payments 2014 may counted properly toward student loan forgiveness.	-0.0904880166053772
57	2022-04-27	Cryptocurrencies	ftx us proposal shook congress crypto derivatives world . story review timeline events regarding proposal first interview brett harrison president ftx us breaks proposal significant belief type margin clearing actually reduces global systemic risks.	0.04993276298046112
58	2022-04-27	Finance	ric edelman new project teaches advisors digital assets . ric edelman founded became largest independent ria u.s. last summer quit order build new business teaches advisors blockchain digital assets clients want buy.	0.015615219250321388
59	2022-04-27	Finance	make negative returns positive portfolio . worst thing retreat bad markets cashing . mean take action . fact wise financial moves consider market.	-0.1352770843077451
60	2022-04-27	Finance	bond market vigilantes back overriding federal reserve go slow policy . wall street break federal reserve opens financial markets sizable volatile adjustments	-0.9369896054267883
61	2022-04-27	Finance	covid 19 cases rise bureau prisons slowly still transferring inmates cares act . 7 000 inmates bureau prisons transferred home confinement cares act . many prisoners sick remain prison allowed go home.	-0.2995865416402618
62	2022-04-27	Stock Market	time buy netflix alphabet experts say beaten tech stocks value plays . analysts say big tech stocks today value buys.	0.32449569553136826
63	2022-04-27	Finance	taiwan 50 richest 2022 despite pandemic challenges collective wealth rises billion . wealth 50 richest reveal mixed picture 23 adding net worth 24 seeing decline.	-0.06848689913749695
